what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.swing.databinding,1.1.0.r37x201109091143,"org.eclipse.wb.swing.databinding",1340275731671
started,bundle,org.eclipse.mylyn.bugzilla.core,3.7.0.I20120204-0747,"org.eclipse.mylyn.bugzilla.core",1340275731703
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.7.0.I20120204-0747,"org.eclipse.mylyn.bugzilla.ui",1340275731703
started,bundle,org.eclipse.mylyn.commons.core,3.7.0.I20120204-0747,"org.eclipse.mylyn.commons.core",1340275731718
started,bundle,org.eclipse.mylyn.commons.net,3.7.0.I20120204-0747,"org.eclipse.mylyn.commons.net",1340275731718
started,bundle,org.eclipse.mylyn.commons.notifications.core,0.9.0.I20120204-0747,"org.eclipse.mylyn.commons.notifications.core",1340275731734
started,bundle,org.eclipse.mylyn.commons.notifications.feed,0.9.0.I20120204-0747,"org.eclipse.mylyn.commons.notifications.feed",1340275731750
started,bundle,org.eclipse.mylyn.commons.ui,3.7.0.I20120204-0747,"org.eclipse.mylyn.commons.ui",1340275731765
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.0.I20120204-0747,"org.eclipse.mylyn.commons.workbench",1340275731796
started,bundle,org.eclipse.mylyn.context.core,3.7.0.I20120204-0747,"org.eclipse.mylyn.context.core",1340275731796
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.0.I20120204-0747,"org.eclipse.mylyn.context.tasks.ui",1340275731812
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.0.I20120204-0747,"org.eclipse.mylyn.monitor.ui",1340275731828
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.0.I20120204-0747,"org.eclipse.mylyn.tasks.ui",1340275731859
started,bundle,org.eclipse.mylyn.trac.core,3.7.0.I20120204-0747,"org.eclipse.mylyn.trac.core",1340275731875
started,bundle,org.eclipse.mylyn.trac.ui,3.7.0.I20120204-0747,"org.eclipse.mylyn.trac.ui",1340275731890
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1340275731953
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1340275732000
os,sysinfo,,,"win32",1340275732000
arch,sysinfo,,,"x86",1340275732000
ws,sysinfo,,,"win32",1340275732000
locale,sysinfo,,,"es_ES",1340275732000
processors,sysinfo,,,"2",1340275732000
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1340275732000
java.runtime.version,sysinfo,,,"1.7.0_05-b05",1340275732000
java.specification.name,sysinfo,,,"Java Platform API Specification",1340275732000
java.specification.vendor,sysinfo,,,"Oracle Corporation",1340275732000
java.specification.version,sysinfo,,,"1.7",1340275732000
java.vendor,sysinfo,,,"Oracle Corporation",1340275732000
java.version,sysinfo,,,"1.7.0_05",1340275732000
java.vm.info,sysinfo,,,"mixed mode",1340275732000
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1340275732000
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1340275732000
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1340275732000
java.vm.specification.version,sysinfo,,,"1.7",1340275732000
java.vm.vendor,sysinfo,,,"Oracle Corporation",1340275732000
java.vm.version,sysinfo,,,"23.1-b03",1340275732000
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1340275732046
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1340275732468
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1340275733296
started,bundle,com.yattasolutions.codegen.reverse.ui,1.4.2.201202241146,"com.yattasolutions.codegen.reverse.ui",1340275733343
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1340275733531
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1340275733687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340275734328
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1340275734343
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1340275734406
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1340275735187
started,bundle,org.eclipse.wb.runtime.lib,1.3.0.r37x201202052311,"org.eclipse.wb.runtime.lib",1340275735234
started,bundle,org.eclipse.pde,3.7.2.v201202080800,"org.eclipse.pde",1340275735312
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110502-1955,"org.eclipse.equinox.simpleconfigurator.manipulator",1340275735375
started,bundle,org.eclipse.wb.swing.FormLayout,1.1.0.r37x201109091143,"org.eclipse.wb.swing.FormLayout",1340275735375
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110502-1955,"org.eclipse.equinox.frameworkadmin",1340275735421
started,bundle,org.eclipse.wb.core.databinding,1.3.0.r37x201202052311,"org.eclipse.wb.core.databinding",1340275741656
started,bundle,org.eclipse.wb.swing.jsr296,1.1.0.r37x201109091143,"org.eclipse.wb.swing.jsr296",1340275742734
started,bundle,org.eclipse.wb.swing.MigLayout.lib,1.1.0.r37x201109091143,"org.eclipse.wb.swing.MigLayout.lib",1340275746343
started,bundle,org.eclipse.wb.swing.MigLayout,1.1.0.r37x201109091143,"org.eclipse.wb.swing.MigLayout",1340275746343
started,bundle,org.eclipse.wb.swing.java6,1.1.0.r37x201109091143,"org.eclipse.wb.swing.java6",1340275746359
started,bundle,org.eclipse.wb.layout.group,1.1.0.r37x201109091112,"org.eclipse.wb.layout.group",1340275746359
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1340275747828
started,bundle,org.eclipse.emf.transaction,1.4.0.v20100331-1738,"org.eclipse.emf.transaction",1340275747859
started,bundle,org.eclipse.emf.workspace,1.5.1.v20110823-1800,"org.eclipse.emf.workspace",1340275747953
started,bundle,org.eclipse.uml2.uml,3.2.100.yatta-patch-201202240323,"org.eclipse.uml2.uml",1340275748171
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1340275748281
started,bundle,org.eclipse.emf.mapping.ecore2xml,2.7.0.v20120130-0943,"org.eclipse.emf.mapping.ecore2xml",1340275748281
started,bundle,org.eclipse.emf.ecore.change,2.7.1.v20120127-1122,"org.eclipse.emf.ecore.change",1340275750609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340275750750
started,bundle,com.yattasolutions.umllab,1.4.2.201202241146,"com.yattasolutions.umllab",1340275750796
started,bundle,com.yattasolutions.codegen,1.4.2.201202241145,"com.yattasolutions.codegen",1340275750843
started,bundle,com.yattasolutions.codegen.reverse,1.4.2.201202241146,"com.yattasolutions.codegen.reverse",1340275750984
