what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.core.databinding,1.3.0.r37x201202052311,"org.eclipse.wb.core.databinding",1340178196484
started,bundle,org.eclipse.wb.swing.jsr296,1.1.0.r37x201109091143,"org.eclipse.wb.swing.jsr296",1340178199859
started,bundle,org.eclipse.wb.swing.MigLayout.lib,1.1.0.r37x201109091143,"org.eclipse.wb.swing.MigLayout.lib",1340178206859
started,bundle,org.eclipse.wb.swing.MigLayout,1.1.0.r37x201109091143,"org.eclipse.wb.swing.MigLayout",1340178206875
started,bundle,org.eclipse.wb.swing.java6,1.1.0.r37x201109091143,"org.eclipse.wb.swing.java6",1340178206875
started,bundle,org.eclipse.wb.layout.group,1.1.0.r37x201109091112,"org.eclipse.wb.layout.group",1340178206906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340178212921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340178212953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340178212968
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1340178218781
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1340178262078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340178305968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340178314125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340178404312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340178404312
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340178404437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340178503218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340178506187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340178909171
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1340178911203
started,bundle,org.eclipse.mylyn.context.ui,3.7.0.I20120204-0747,"org.eclipse.mylyn.context.ui",1340178911437
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1340178912656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340178916906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340178924859
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340178925093
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340178925218
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1340178928343
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340178953234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340178953343
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1340178966562
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340178969859
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340178969937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340178971421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340178984125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340178984750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340178984750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340178984984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340178987843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1340178998140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1340179001609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340179002687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340179003109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340179003515
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340179006453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340179006578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340179007875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340179008078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340179009562
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340179009671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340179011406
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340179011546
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1340179041734
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340179044656
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1340179046187
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1340179049953
