what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340170127875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340170133500
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1340170142062
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1340170142453
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1340170142531
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1340170144296
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1340170144406
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1340170145734
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1340170151421
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1340170151437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340170155828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340170160281
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1340170169250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340170171328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340170186078
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1340170248890
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1340170290937
started,bundle,org.eclipse.wb.swing.FormLayout.lib,1.1.0.r37x201109091143,"org.eclipse.wb.swing.FormLayout.lib",1340170322140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1340170373578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340170374437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340170374875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340170375562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340170380468
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1340170401703
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1340170417390
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1340170434906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340170436437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340170442046
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1340170654468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340170654531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340170659109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1340170661984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340170662031
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340170666281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340170726921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340170861671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340170866093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340170879093
