what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182449109
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1340182451140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1340182452875
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1340182455093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182455265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182460906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182470531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182470531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182470640
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182482687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182488921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182494718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182496062
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182508031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182510875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182511703
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182538609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182541812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182548718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182555281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182563859
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182587843
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182593796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182598968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182609468
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182613718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182626406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182643562
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1340182645890
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1340182648031
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1340182649843
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182654500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182665359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182669593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182688953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182690203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182691125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182691234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182732187
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182732187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182734046
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1340182739453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182742687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182761968
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1340182764703
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182774000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182780000
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182782843
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182790531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182798031
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182804609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182812328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182816671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1340182822890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340182838218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340269262187
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340269270218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340269277015
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340269285390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340269292671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340269327312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340269332890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340269344343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340269350796
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340269359671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340269365718
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1340269373921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340269400500
